split,model,site,origin,target_month,horizon,actual_m3,forecast_m3,scale_m3,model_details,horizon_bucket,interval_q,lower_m3,upper_m3,covered,interval_width_m3
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-07,7,7.0,21.10837873906716,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h7-12,2.952097419162971,0.0,86.89797836612766,True,86.89797836612766
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-08,8,110.0,99.99798228288459,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h7-12,2.952097419162971,34.208382655824096,165.7875819099451,True,131.579199254121
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-09,9,150.0,178.7565343776105,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h7-12,2.952097419162971,112.96693475055001,244.546134004671,True,131.57919925412097
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-10,10,121.0,156.24242101562933,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h7-12,2.952097419162971,90.45282138856884,222.03202064268982,True,131.57919925412097
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-11,11,114.0,156.32463146854178,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h7-12,2.952097419162971,90.53503184148128,222.1142310956023,True,131.57919925412102
final,ets,4236 Itäkeskuksen peruskoulu,2017-12,2018-12,12,117.0,102.38368717330086,22.285714285714285,"{'specification': 'ETS(A,Ad,A)', 'sse': 42854.08851222695}",h7-12,2.952097419162971,36.59408754624036,168.17328680036135,True,131.579199254121
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-01,1,131.0,104.16626624030482,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h1,1.9560832420395615,34.8184579689499,173.51407451165974,True,138.69561654270984
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-02,2,157.0,106.29455174509395,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h2-3,2.952097419162971,1.6356694323876724,210.95343405780022,True,209.31776462541256
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-03,3,185.0,156.93053034432285,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h2-3,2.952097419162971,52.271648031616564,261.58941265702913,True,209.31776462541256
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-04,4,179.0,134.19942964456126,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h4-6,2.733442812786802,37.29237373409583,231.1064855550267,True,193.81411182093086
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-05,5,185.0,109.84841112975192,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h4-6,2.733442812786802,12.941355219286493,206.75546704021735,True,193.81411182093086
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-06,6,23.0,61.379402549879316,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h4-6,2.733442812786802,0.0,158.28645846034476,True,158.28645846034476
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-07,7,8.0,51.53889199759887,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h7-12,2.952097419162971,0.0,156.19777431030514,True,156.19777431030514
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-08,8,104.0,131.07612062288914,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h7-12,2.952097419162971,26.417238310182853,235.73500293559542,True,209.31776462541256
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-09,9,133.0,166.3659930315258,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h7-12,2.952097419162971,61.70711071881951,271.0248753442321,True,209.3177646254126
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-10,10,148.0,121.28371992406746,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h7-12,2.952097419162971,16.624837611361173,225.94260223677372,True,209.31776462541256
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-11,11,137.0,132.08130241112465,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h7-12,2.952097419162971,27.42242009841837,236.74018472383094,True,209.31776462541256
final,ets,4303 Kontulan ala-asteen koulu,2017-12,2018-12,12,101.0,95.2583144146522,35.45238095238095,"{'specification': 'ETS(A,Ad,A)', 'sse': 153772.90473615937}",h7-12,2.952097419162971,0.0,199.9171967273585,True,199.9171967273585
final,ets,4320 Crusellin peruskoulu,2017-12,2018-01,1,83.0,77.88686208713568,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h1,1.9560832420395615,29.194361383508024,126.57936279076334,True,97.38500140725532
final,ets,4320 Crusellin peruskoulu,2017-12,2018-02,2,75.0,79.14363248215889,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h2-3,2.952097419162971,5.657493155137786,152.62977180918,True,146.9722786540422
final,ets,4320 Crusellin peruskoulu,2017-12,2018-03,3,102.0,109.06238224625437,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h2-3,2.952097419162971,35.576242919233266,182.54852157327548,True,146.9722786540422
final,ets,4320 Crusellin peruskoulu,2017-12,2018-04,4,96.0,93.02487662947779,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h4-6,2.733442812786802,24.981675182606324,161.06807807634925,True,136.08640289374293
final,ets,4320 Crusellin peruskoulu,2017-12,2018-05,5,89.0,91.66837088632664,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h4-6,2.733442812786802,23.625169439455178,159.7115723331981,True,136.0864028937429
final,ets,4320 Crusellin peruskoulu,2017-12,2018-06,6,13.0,26.127229505200173,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h4-6,2.733442812786802,0.0,94.17043095207164,True,94.17043095207164
final,ets,4320 Crusellin peruskoulu,2017-12,2018-07,7,13.0,26.783724565109555,24.892857142857142,"{'specification': 'ETS(A,Ad,A)', 'sse': 23959.34589141598}",h7-12,2.952097419162971,0.0,100.26986389213066,True,100.26986389213066
